"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;5;"main00044"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;10;"main00045"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;15;"main00046"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;20;"main00047"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;30;"main00048"
7;"TypeI";4;0.65;"half.noise";0.5;"gen.MVNX";0;".";0.000524850428311296;0.400481605681243;50;"main00049"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;3;"main00050"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;5;"main00051"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;10;"main00052"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;15;"main00053"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;20;"main00054"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;30;"main00055"
8;"TypeI";4;0.65;"half.noise";0.0625;"gen.MVNX";0;".";-2.8330128616191;0.388419035014714;50;"main00056"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;3;"main00057"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;5;"main00058"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;10;"main00059"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;15;"main00060"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;20;"main00061"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;30;"main00062"
9;"TypeI";4;0.65;"one.noise";0.5;"gen.MVNX";0;".";-0.000291413587987677;0.328755772701726;50;"main00063"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;3;"main00064"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;5;"main00065"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;10;"main00066"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;15;"main00067"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;20;"main00068"
10;"TypeI";4;0.65;"one.noise";0.25;"gen.MVNX";0;".";-1.17288164311794;0.32386234039393;30;"main00069"
